well	group
B2	ctl_untrt
B3	ctl_untrt
B4	ctl_untrt
B5	ctl_untrt
B6	ctl_untrt
B7	ctl_untrt
B8	ctl_untrt
B9	ctl_untrt
B10	ctl_untrt
B11	ctl_untrt
B12	ctl_blank
C2	ctl_untrt
C3	ctl_untrt
C4	ctl_untrt
C5	ctl_untrt
C6	ctl_untrt
C7	ctl_untrt
C8	ctl_untrt
C9	ctl_untrt
C10	ctl_untrt
C11	ctl_untrt
C12	ctl_blank
D2	ctl_untrt
D3	ctl_untrt
D4	ctl_untrt
D5	ctl_untrt
D6	ctl_untrt
D7	ctl_untrt
D8	ctl_untrt
D9	ctl_untrt
D10	ctl_untrt
D11	ctl_untrt
D12	ctl_blank
E2	ctl_untrt
E3	ctl_untrt
E4	ctl_untrt
E5	ctl_untrt
E6	ctl_untrt
E7	ctl_untrt
E8	ctl_untrt
E9	ctl_untrt
E10	ctl_untrt
E11	ctl_untrt
E12	ctl_blank
F2	ctl_untrt
F3	ctl_untrt
F4	ctl_untrt
F5	ctl_untrt
F6	ctl_untrt
F7	ctl_untrt
F8	ctl_untrt
F9	ctl_untrt
F10	ctl_untrt
F11	ctl_untrt
F12	ctl_blank
G2	ctl_untrt
G3	ctl_untrt
G4	ctl_untrt
G5	ctl_untrt
G6	ctl_untrt
G7	ctl_untrt
G8	ctl_untrt
G9	ctl_untrt
G10	ctl_untrt
G11	ctl_untrt
G12	ctl_blank
