well	group	dilution	compound	cell
A1	NA	NA	NA	NA
A2	NA	NA	NA	NA
A3	NA	NA	NA	NA
A4	NA	NA	NA	NA
A5	NA	NA	NA	NA
A6	NA	NA	NA	NA
A7	NA	NA	NA	NA
A8	NA	NA	NA	NA
A9	NA	NA	NA	NA
A10	NA	NA	NA	NA
A11	NA	NA	NA	NA
A12	NA	NA	NA	NA
B1	NA	NA	NA	NA
B2	trt_cp	1	A	A
B3	trt_cp	2	A	A
B4	trt_cp	3	A	A
B5	trt_cp	4	A	A
B6	trt_cp	5	A	A
B7	trt_cp	6	A	A
B8	trt_cp	7	A	A
B9	trt_cp	8	A	A
B10	ctl_vehicle	0	NA	NA
B11	ctl_untrt	0	NA	NA
B12	ctl_blank	NA	NA	B
C1	ctl_blank	NA	NA	A
C2	trt_cp	1	A	A
C3	trt_cp	2	A	A
C4	trt_cp	3	A	A
C5	trt_cp	4	A	A
C6	trt_cp	5	A	A
C7	trt_cp	6	A	A
C8	trt_cp	7	A	A
C9	trt_cp	8	A	A
C10	ctl_vehicle	0	NA	NA
C11	ctl_untrt	0	NA	NA
C12	NA	NA	NA	NA
D1	NA	NA	NA	NA
D2	trt_cp	1	A	A
D3	trt_cp	2	A	A
D4	trt_cp	3	A	A
D5	trt_cp	4	A	A
D6	trt_cp	5	A	A
D7	trt_cp	6	A	A
D8	trt_cp	7	A	A
D9	trt_cp	8	A	A
D10	ctl_vehicle	0	NA	NA
D11	ctl_untrt	0	NA	NA
D12	ctl_blank	NA	NA	B
E1	ctl_blank	NA	NA	A
E2	trt_cp	1	B	B
E3	trt_cp	2	B	B
E4	trt_cp	3	B	B
E5	trt_cp	4	B	B
E6	trt_cp	5	B	B
E7	trt_cp	6	B	B
E8	trt_cp	7	B	B
E9	trt_cp	8	B	B
E10	ctl_vehicle	0	NA	NA
E11	ctl_untrt	0	NA	NA
E12	NA	NA	NA	NA
F1	NA	NA	NA	NA
F2	trt_cp	1	B	B
F3	trt_cp	2	B	B
F4	trt_cp	3	B	B
F5	trt_cp	4	B	B
F6	trt_cp	5	B	B
F7	trt_cp	6	B	B
F8	trt_cp	7	B	B
F9	trt_cp	8	B	B
F10	ctl_vehicle	0	NA	NA
F11	ctl_untrt	0	NA	NA
F12	ctl_blank	NA	NA	B
G1	ctl_blank	NA	NA	A
G2	trt_cp	1	B	B
G3	trt_cp	2	B	B
G4	trt_cp	3	B	B
G5	trt_cp	4	B	B
G6	trt_cp	5	B	B
G7	trt_cp	6	B	B
G8	trt_cp	7	B	B
G9	trt_cp	8	B	B
G10	ctl_vehicle	0	NA	NA
G11	ctl_untrt	0	NA	NA
G12	NA	NA	NA	NA
H1	NA	NA	NA	NA
H2	NA	NA	NA	NA
H3	NA	NA	NA	NA
H4	NA	NA	NA	NA
H5	NA	NA	NA	NA
H6	NA	NA	NA	NA
H7	NA	NA	NA	NA
H8	NA	NA	NA	NA
H9	NA	NA	NA	NA
H10	NA	NA	NA	NA
H11	NA	NA	NA	NA
H12	NA	NA	NA	NA
