well	group	dilution	compound
A1	NA	NA	NA
A2	NA	NA	NA
A3	NA	NA	NA
A4	NA	NA	NA
A5	NA	NA	NA
A6	NA	NA	NA
A7	NA	NA	NA
A8	NA	NA	NA
A9	NA	NA	NA
A10	NA	NA	NA
A11	NA	NA	NA
A12	NA	NA	NA
B1	NA	NA	NA
B2	trt_cp	1	A
B3	trt_cp	2	A
B4	trt_cp	3	A
B5	trt_cp	4	A
B6	trt_cp	5	A
B7	trt_cp	6	A
B8	trt_cp	7	A
B9	trt_cp	8	A
B10	ctl_vehicle	0	NA
B11	ctl_untrt	0	NA
B12	ctl_blank	NA	NA
C1	NA	NA	NA
C2	trt_cp	1	A
C3	trt_cp	2	A
C4	trt_cp	3	A
C5	trt_cp	4	A
C6	trt_cp	5	A
C7	trt_cp	6	A
C8	trt_cp	7	A
C9	trt_cp	8	A
C10	ctl_vehicle	0	NA
C11	ctl_untrt	0	NA
C12	ctl_blank	NA	NA
D1	NA	NA	NA
D2	trt_cp	1	A
D3	trt_cp	2	A
D4	trt_cp	3	A
D5	trt_cp	4	A
D6	trt_cp	5	A
D7	trt_cp	6	A
D8	trt_cp	7	A
D9	trt_cp	8	A
D10	ctl_vehicle	0	NA
D11	ctl_untrt	0	NA
D12	ctl_blank	NA	NA
E1	NA	NA	B
E2	trt_cp	1	B
E3	trt_cp	2	B
E4	trt_cp	3	B
E5	trt_cp	4	B
E6	trt_cp	5	B
E7	trt_cp	6	B
E8	trt_cp	7	B
E9	trt_cp	8	B
E10	ctl_vehicle	0	NA
E11	ctl_untrt	0	NA
E12	ctl_blank	NA	NA
F1	NA	NA	NA
F2	trt_cp	1	B
F3	trt_cp	2	B
F4	trt_cp	3	B
F5	trt_cp	4	B
F6	trt_cp	5	B
F7	trt_cp	6	B
F8	trt_cp	7	B
F9	trt_cp	8	B
F10	ctl_vehicle	0	NA
F11	ctl_untrt	0	NA
F12	ctl_blank	NA	NA
G1	NA	NA	NA
G2	trt_cp	1	B
G3	trt_cp	2	B
G4	trt_cp	3	B
G5	trt_cp	4	B
G6	trt_cp	5	B
G7	trt_cp	6	B
G8	trt_cp	7	B
G9	trt_cp	8	B
G10	ctl_vehicle	0	NA
G11	ctl_untrt	0	NA
G12	ctl_blank	NA	NA
H1	NA	NA	NA
H2	NA	NA	NA
H3	NA	NA	NA
H4	NA	NA	NA
H5	NA	NA	NA
H6	NA	NA	NA
H7	NA	NA	NA
H8	NA	NA	NA
H9	NA	NA	NA
H10	NA	NA	NA
H11	NA	NA	NA
H12	NA	NA	NA
